id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
733767515535572744,Rental unit in Zürich · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,190346442,Ahmad,Kreis 5,Gewerbeschule,47.38691434655432,8.528437949717045,Private room,,1,41,2023-09-28,2.84,1,0,27,
733935384615041674,Rental unit in Zürich · 1 bedroom · 1 bed · 1 bath,216908,Martina,Kreis 5,Gewerbeschule,47.38217,8.53016,Entire home/apt,184,3,0,,,1,358,0,
735446860559082171,Bed and breakfast in Zürich · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,450818969,Constantin,Kreis 11,Oerlikon,47.40375,8.55043,Private room,94,1,9,2023-12-10,0.63,1,88,7,
735597608870312914,Rental unit in Zürich · 1 bedroom · 1 bed · 1 shared bath,11688696,Jasmina,Kreis 10,Höngg,47.39514,8.51048,Private room,125,10,2,2023-04-18,0.15,1,90,1,
735879850938577478,Condo in Zürich · 1 bedroom · 1 bed · 1 shared bath,52220428,Doris,Kreis 8,Seefeld,47.35594,8.55353,Private room,69,1,2,2022-11-14,0.14,1,362,0,
735888726647020120,Hotel in Zürich · 1 bedroom · 2 beds · 1 private bath,483258200,Eitam,Kreis 11,Affoltern,47.41933765157616,8.501145131886005,Private room,197,1,2,2023-10-01,0.66,2,365,2,
736174879675662741,Rental unit in Zürich · 2 bedrooms · 2 beds · 1 bath,225884113,Felicitas,Kreis 9,Albisrieden,47.37121,8.49008,Entire home/apt,145,5,1,2022-11-01,0.07,1,40,0,
739039447589071860,Rental unit in Zürich · 2 bedrooms · 2 beds · 1 bath,71345273,Diana,Kreis 3,Sihlfeld,47.373298,8.5179259,Entire home/apt,,14,0,,,1,0,0,
739126300918548100,Rental unit in Zürich · ★5.0 · 1 bedroom · 1 bed · 2 baths,8113414,Valentino,Kreis 4,Werd,47.36978,8.52859,Entire home/apt,229,5,4,2023-07-29,0.31,1,0,3,
739154001660172477,Rental unit in Zürich · Studio · 1 bed · 1 bath,483857695,Laura,Kreis 11,Oerlikon,47.40538,8.54953,Entire home/apt,120,1125,2,2022-11-20,0.15,2,356,0,
739571627711709522,Serviced apartment in Zürich · ★5.0 · Studio · 1 bed · 1 bath,203249525,Vanessa,Kreis 2,Leimbach,47.33051137003371,8.5164379932541,Entire home/apt,149,3,3,2023-08-24,0.35,7,357,3,
739650916213145141,Rental unit in Zürich · ★4.65 · 1 bedroom · 1 bed · 1 bath,23561865,Dimi,Kreis 10,Wipkingen,47.3881946,8.534783,Entire home/apt,120,2,46,2023-12-15,3.30,61,33,38,
740268827990260895,Rental unit in Zürich · 3 bedrooms · 3 beds · 2 baths,434204093,Blueground,Kreis 3,Friesenberg,47.35386199999999,8.5094792,Entire home/apt,193,30,1,2023-12-12,1,105,359,1,
740269265468118188,Rental unit in Zürich · 3 bedrooms · 3 beds · 2 baths,434204093,Blueground,Kreis 3,Sihlfeld,47.3713017,8.5203628,Entire home/apt,270,30,0,,,105,300,0,
741461900345748903,Condo in Zürich · 1 bedroom · 1 bed · 1 bath,70910817,Steph,Kreis 5,Gewerbeschule,47.38213,8.53054,Entire home/apt,,7,0,,,1,0,0,
741711018554295461,Serviced apartment in Zürich · 2 bedrooms · 3 beds · 2 baths,83271512,José-Luis,Kreis 3,Alt-Wiedikon,47.36792,8.52106,Entire home/apt,,29,0,,,19,0,0,
741720551049252404,Place to stay in Zürich · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,57520822,Inken,Kreis 1,Hochschulen,47.36772908205802,8.54849172731583,Private room,140,3,54,2023-12-11,3.88,2,148,49,
